"filename", "language", "Dart", "comment", "blank", "total"
"c:\Vera\coolapp\lib\globals.dart", "Dart", 12, 0, 0, 12
"c:\Vera\coolapp\lib\services\auth_service.dart", "Dart", 45, 1, 5, 51
"c:\Vera\coolapp\lib\views\pages\help_page\help_page.dart", "Dart", 0, 1, 0, 1
"c:\Vera\coolapp\lib\views\pages\home\home_page.dart", "Dart", 439, 1, 6, 446
"c:\Vera\coolapp\lib\views\pages\profile_page\profile_page.dart", "Dart", 178, 1, 13, 192
"c:\Vera\coolapp\lib\views\pages\videos\locked_page.dart", "Dart", 2, 0, 0, 2
"c:\Vera\coolapp\lib\views\pages\videos\not_logged_in.dart", "Dart", 2, 1, 0, 3
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\ap_physics_1.dart", "Dart", 1, 0, 0, 1
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\ap_physics_2.dart", "Dart", 1, 0, 0, 1
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\grade_11_physics.dart", "Dart", 1, 0, 0, 1
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\grade_12_physics.dart", "Dart", 1, 0, 0, 1
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_courses\ib_physics_hl.dart", "Dart", 2, 0, 0, 2
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\dynamics.dart", "Dart", 213, 1, 9, 223
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\electricity_and_magnetism.dart", "Dart", 1, 0, 1, 2
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\intro_to_physics.dart", "Dart", 1, 0, 0, 1
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\kinematics.dart", "Dart", 2, 0, 0, 2
"c:\Vera\coolapp\lib\views\pages\videos\physics_videos\physics_topics\momentum_and_collisions.dart", "Dart", 2, 0, 0, 2
"c:\Vera\coolapp\lib\views\pages\videos\video_pages\courses_page.dart", "Dart", 99, 0, 1, 100
"c:\Vera\coolapp\lib\views\pages\videos\video_pages\topics_page.dart", "Dart", 108, 0, 1, 109
"c:\Vera\coolapp\lib\views\pages\videos\video_player.dart", "Dart", 15, 0, 0, 15
"c:\Vera\coolapp\lib\views\widget_tree.dart", "Dart", -16, 0, 0, -16
"c:\Vera\coolapp\lib\widgets\timed_app_bar.dart", "Dart", 48, 0, 8, 56
"Total", "-", 1157, 6, 44, 1207